2024-11-13 01:04:41,581 - INFO - Files loaded successfully.
2024-11-13 01:04:41,582 - INFO - NaN values in 'purchase_df' handled by filling empty strings.
2024-11-13 01:04:41,583 - INFO - NaN values in 'sales_df' handled by filling empty strings.
2024-11-13 01:04:41,585 - INFO - Date columns converted to datetime.
2024-11-13 01:04:41,880 - INFO - Vectorization completed successfully.
2024-11-13 01:04:44,588 - INFO - Number of high-quality matches found: 0
2024-11-13 01:04:44,629 - INFO - Matches exported successfully to 'dejuna_high_quality_matches.xlsx'
2024-11-13 01:05:03,428 - INFO - Files loaded successfully.
2024-11-13 01:05:03,429 - INFO - NaN values in 'purchase_df' handled by filling empty strings.
2024-11-13 01:05:03,430 - INFO - NaN values in 'sales_df' handled by filling empty strings.
2024-11-13 01:05:03,433 - INFO - Date columns converted to datetime.
2024-11-13 01:05:03,725 - INFO - Vectorization completed successfully.
2024-11-13 01:05:04,218 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-28 00:00:00
2024-11-13 01:05:04,218 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-28 00:00:00
2024-11-13 01:05:04,218 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-27 00:00:00
2024-11-13 01:05:04,218 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-27 00:00:00
2024-11-13 01:05:04,219 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-26 00:00:00
2024-11-13 01:05:04,219 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-22 00:00:00
2024-11-13 01:05:04,219 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-21 00:00:00
2024-11-13 01:05:04,219 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-21 00:00:00
2024-11-13 01:05:04,220 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-21 00:00:00
2024-11-13 01:05:04,220 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-20 00:00:00
2024-11-13 01:05:04,220 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-20 00:00:00
2024-11-13 01:05:04,220 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-20 00:00:00
2024-11-13 01:05:04,220 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-19 00:00:00
2024-11-13 01:05:04,220 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-16 00:00:00
2024-11-13 01:05:04,221 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-15 00:00:00
2024-11-13 01:05:04,221 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-15 00:00:00
2024-11-13 01:05:04,221 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-15 00:00:00
2024-11-13 01:05:04,221 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-12 00:00:00
2024-11-13 01:05:04,222 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-12 00:00:00
2024-11-13 01:05:04,222 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-09 00:00:00
2024-11-13 01:05:04,222 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-08 00:00:00
2024-11-13 01:05:04,223 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-07 00:00:00
2024-11-13 01:05:04,223 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-07 00:00:00
2024-11-13 01:05:04,223 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-06 00:00:00
2024-11-13 01:05:04,225 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-30 00:00:00
2024-11-13 01:05:04,225 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-29 00:00:00
2024-11-13 01:05:04,225 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-25 00:00:00
2024-11-13 01:05:04,225 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-25 00:00:00
2024-11-13 01:05:04,225 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-25 00:00:00
2024-11-13 01:05:04,225 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-25 00:00:00
2024-11-13 01:05:04,227 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-12 00:00:00
2024-11-13 01:05:04,227 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-12 00:00:00
2024-11-13 01:05:04,228 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-11 00:00:00
2024-11-13 01:05:04,228 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-11 00:00:00
2024-11-13 01:05:04,228 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-16 00:00:00
2024-11-13 01:05:04,228 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-16 00:00:00
2024-11-13 01:05:04,229 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-10 00:00:00
2024-11-13 01:05:04,230 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-05 00:00:00
2024-11-13 01:05:04,230 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-03 00:00:00
2024-11-13 01:05:04,230 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-03 00:00:00
2024-11-13 01:05:04,230 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-02 00:00:00
2024-11-13 01:05:04,231 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-01 00:00:00
2024-11-13 01:05:04,231 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-28 00:00:00
2024-11-13 01:05:04,231 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-28 00:00:00
2024-11-13 01:05:04,231 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-26 00:00:00
2024-11-13 01:05:04,233 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-20 00:00:00
2024-11-13 01:05:04,233 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-19 00:00:00
2024-11-13 01:05:04,233 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-19 00:00:00
2024-11-13 01:05:04,233 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-18 00:00:00
2024-11-13 01:05:04,233 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-17 00:00:00
2024-11-13 01:05:04,233 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-17 00:00:00
2024-11-13 01:05:04,234 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-14 00:00:00
